-- texts/amharic-1.txt
სინდისით: EOK (Georgian)
და: EOK (Georgian)
ერთმანეთის: EOK (Georgian)
მიმართ: EOK (Georgian)
ძმობის: EOK (Georgian)
სულისკვეთებით: EOK (Georgian)
უნდა: EOK (Georgian)
მოიქცნენ: EOK (Georgian)
-- texts/greek-1.txt
Ελληνική: EOK (Greek)
γραφή: EOK (Greek)
Όλοι: EOK (Greek)
οι: EOK (Greek)
άνθρωποι: EOK (Greek)
γεννιούνται: EOK (Greek)
ελεύθεροι: EOK (Greek)
και: EOK (Greek)
ίσοι: EOK (Greek)
σε: EOK (Greek)
αξιοπρέπεια: EOK (Greek)
και: EOK (Greek)
δικαιώματα: EOK (Greek)
Είναι: EOK (Greek)
προικισμένοι: EOK (Greek)
με: EOK (Greek)
λογική: EOK (Greek)
και: EOK (Greek)
συνείδηση: EOK (Greek)
και: EOK (Greek)
πρέπει: EOK (Greek)
να: EOK (Greek)
ενεργούν: EOK (Greek)
ο: EOK (Greek)
ένας: EOK (Greek)
προς: EOK (Greek)
τον: EOK (Greek)
άλλον: EOK (Greek)
με: EOK (Greek)
πνεύμα: EOK (Greek)
αδελφοσύνης: EOK (Greek)
-- texts/gujarati-1.txt
ગુજરાતી: EOK (Gujarati)
લિપિ: EOK (Gujarati)
બધા: EOK (Gujarati)
મનુષ્યો: EOK (Gujarati)
સ્વતંત્ર: EOK (Gujarati)
જન્મે: EOK (Gujarati)
છે: EOK (Gujarati)
અને: EOK (Gujarati)
ગૌરવ: EOK (Gujarati)
અને: EOK (Gujarati)
અધિકારોમાં: EOK (Gujarati)
સમાન: EOK (Gujarati)
છે: EOK (Gujarati)
તેઓ: EOK (Gujarati)
તર્ક: EOK (Gujarati)
અને: EOK (Gujarati)
વિવેકથી: EOK (Gujarati)
સંપન્ન: EOK (Gujarati)
છે: EOK (Gujarati)
અને: EOK (Gujarati)
તેઓ: EOK (Gujarati)
એકબીજા: EOK (Gujarati)
પ્રત્યે: EOK (Gujarati)
ભાઈચારાની: EOK (Gujarati)
ભાવનાથી: EOK (Gujarati)
વર્તે: EOK (Gujarati)
છે: EOK (Gujarati)
-- texts/hebrew-1.txt
כתב: EOK (Hebrew)
עברי: EOK (Hebrew)
כל: EOK (Hebrew)
בני: EOK (Hebrew)
האדם: EOK (Hebrew)
נולדו: EOK (Hebrew)
חופשיים: EOK (Hebrew)
ושווים: EOK (Hebrew)
בכבוד: EOK (Hebrew)
ובזכויות: EOK (Hebrew)
הם: EOK (Hebrew)
ניחנים: EOK (Hebrew)
בשכל: EOK (Hebrew)
ובמצפון: EOK (Hebrew)
וצריכים: EOK (Hebrew)
לפעול: EOK (Hebrew)
זה: EOK (Hebrew)
כלפי: EOK (Hebrew)
זה: EOK (Hebrew)
ברוח: EOK (Hebrew)
של: EOK (Hebrew)
אחווה: EOK (Hebrew)
-- texts/hindi-1.txt
देवनागरी: EOK (Devanagari)
लिपि: EOK (Devanagari)
सभी: EOK (Devanagari)
मनुष्य: EOK (Devanagari)
स्वतंत्र: EOK (Devanagari)
पैदा: EOK (Devanagari)
होते: EOK (Devanagari)
हैं: EOK (Devanagari)
और: EOK (Devanagari)
सम्मान: EOK (Devanagari)
और: EOK (Devanagari)
अधिकारों: EOK (Devanagari)
में: EOK (Devanagari)
समान: EOK (Devanagari)
होते: EOK (Devanagari)
हैं: EOK (Devanagari)
वे: EOK (Devanagari)
तर्क: EOK (Devanagari)
और: EOK (Devanagari)
विवेक: EOK (Devanagari)
से: EOK (Devanagari)
संपन्न: EOK (Devanagari)
हैं: EOK (Devanagari)
और: EOK (Devanagari)
उन्हें: EOK (Devanagari)
भाईचारे: EOK (Devanagari)
की: EOK (Devanagari)
भावना: EOK (Devanagari)
से: EOK (Devanagari)
एक: EOK (Devanagari)
दूसरे: EOK (Devanagari)
के: EOK (Devanagari)
प्रति: EOK (Devanagari)
कार्य: EOK (Devanagari)
करना: EOK (Devanagari)
चाहिए: EOK (Devanagari)
-- texts/hungarian-1.txt
Magyar: EOK (Latin)
Minden: EOK (Latin)
emberi: EOK (Latin)
lény: EOK (Latin)
szabadnak: EOK (Latin)
és: EOK (Latin)
egyenlőnek: EOK (Latin)
születik: EOK (Latin)
méltóságában: EOK (Latin)
és: EOK (Latin)
jogaiban: EOK (Latin)
Ésszel: EOK (Latin)
és: EOK (Latin)
lelkiismerettel: EOK (Latin)
rendelkeznek: EOK (Latin)
és: EOK (Latin)
a: EOK (Latin)
testvériség: EOK (Latin)
szellemében: EOK (Latin)
kell: EOK (Latin)
viselkedniük: EOK (Latin)
egymással: EOK (Latin)
-- texts/igbo-1.txt
Igbo: EOK (Latin)
A: EOK (Latin)
mụrụ: EOK (Latin)
mmadụ: EOK (Latin)
niile: EOK (Latin)
nweere: EOK (Latin)
onwe: EOK (Latin)
ha: EOK (Latin)
nhata: EOK (Latin)
na: EOK (Latin)
ugwu: EOK (Latin)
na: EOK (Latin)
ikike: EOK (Latin)
Enyere: EOK (Latin)
ha: EOK (Latin)
uche: EOK (Latin)
na: EOK (Latin)
akọ: EOK (Latin)
na: EOK (Latin)
uche: EOK (Latin)
ma: EOK (Latin)
kwesị: EOK (Latin)
ịkpakọrịta: EOK (Latin)
ibe: EOK (Latin)
ha: EOK (Latin)
n: EOK (Latin)
ime: EOK (Latin)
mmụọ: EOK (Latin)
nke: EOK (Latin)
ụmụnna: EOK (Latin)
-- texts/japanese-1.txt
日本語の台本: EOK (Han, Hiragana)
すべての人間は自由に生まれ: EOK (Han, Hiragana)
尊厳と権利において平等です: EOK (Han, Hiragana)
彼らは理性と良心に恵まれており: EOK (Han, Hiragana)
兄弟愛の精神でお互いに向かって行動する必要があります: EOK (Han, Hiragana)
-- texts/japanese-2.txt
ワンワン: EOK (Katakana)
Tシャツを3枚購入しました: EOK (Katakana, Latin, Hiragana, Han)
-- texts/kannada-1.txt
ಕನ್ನಡ: EOK (Kannada)
ಲಿಪಿ: EOK (Kannada)
ಎಲ್ಲಾ: EOK (Kannada)
ಮಾನವರು: EOK (Kannada)
ಸ್ವತಂತ್ರವಾಗಿ: EOK (Kannada)
ಮತ್ತು: EOK (Kannada)
ಘನತೆ: EOK (Kannada)
ಮತ್ತು: EOK (Kannada)
ಹಕ್ಕುಗಳಲ್ಲಿ: EOK (Kannada)
ಸಮಾನವಾಗಿ: EOK (Kannada)
ಹುಟ್ಟಿದ್ದಾರೆ: EOK (Kannada)
ಅವರು: EOK (Kannada)
ವಿವೇಚನೆ: EOK (Kannada)
ಮತ್ತು: EOK (Kannada)
ಆತ್ಮಸಾಕ್ಷಿಯನ್ನು: EOK (Kannada)
ಹೊಂದಿದ್ದಾರೆ: EOK (Kannada)
ಮತ್ತು: EOK (Kannada)
ಸಹೋದರತ್ವದ: EOK (Kannada)
ಮನೋಭಾವದಿಂದ: EOK (Kannada)
ಪರಸ್ಪರ: EOK (Kannada)
ವರ್ತಿಸಬೇಕು: EOK (Kannada)
-- texts/khmer-1.txt
អក្សរខ្មែរ: EOK (Khmer)
មនុស្សគ្រប់រូបកើតមកមានសេរីភាព: EOK (Khmer)
និងស្មើភាពគ្នាក្នុងសេចក្តីថ្លៃថ្នូរ: EOK (Khmer)
និងសិទ្ធិ: EOK (Khmer)
ពួកគេត្រូវបានផ្តល់ដោយហេតុផល: EOK (Khmer)
និងមនសិការ: EOK (Khmer)
ហើយគួរតែប្រព្រឹត្តចំពោះគ្នាទៅវិញទៅមកក្នុងស: EOK (Khmer)
-- texts/korean-1.txt
한글: EOK (Hangul)
스크립트: EOK (Hangul)
모든: EOK (Hangul)
인간은: EOK (Hangul)
태어날: EOK (Hangul)
때부터: EOK (Hangul)
자유롭고: EOK (Hangul)
존엄성과: EOK (Hangul)
권리가: EOK (Hangul)
평등합니다: EOK (Hangul)
그들은: EOK (Hangul)
이성과: EOK (Hangul)
양심을: EOK (Hangul)
부여받았으며: EOK (Hangul)
형제애의: EOK (Hangul)
정신으로: EOK (Hangul)
서로를: EOK (Hangul)
대해야: EOK (Hangul)
합니다: EOK (Hangul)
-- texts/korean-2.txt
ฝ오: EOK (Thai, Hangul)
ʉ: EOK (Thai, Hangul, Latin)
ฝ오: EOK (Thai, Hangul, Latin)
ʉ: EOK (Thai, Hangul, Latin)
-- texts/lao-1.txt
ອັກສອນລາວ: EOK (Lao)
ມະນຸດທຸກຄົນເກີດມາມີເສລີພາບ: EOK (Lao)
ແລະສະເໝີພາບໃນກຽດສັກສີ: EOK (Lao)
ແລະສິດທິ: EOK (Lao)
ເຂົາ: EOK (Lao)
ເຈົ້າ: EOK (Lao)
ມີ: EOK (Lao)
ເຫດຜົນ: EOK (Lao)
ແລະ: EOK (Lao)
ສະຕິ: EOK (Lao)
ຮູ້ສຶກ: EOK (Lao)
ຜິດ: EOK (Lao)
ຊອບ: EOK (Lao)
ແລະ: EOK (Lao)
ຄວນ: EOK (Lao)
ປະຕິບັດ: EOK (Lao)
ຕໍ່: EOK (Lao)
ກັນ: EOK (Lao)
ແລະ: EOK (Lao)
ກັນ: EOK (Lao)
ໃນ: EOK (Lao)
ຈິດ: EOK (Lao)
ໃຈ: EOK (Lao)
ຂອງ: EOK (Lao)
ພີ່: EOK (Lao)
ນ້ອງ: EOK (Lao)
-- texts/latin-1.txt
aʙȼ1: EOK (Latin)
aʙȼ2: EOK (Latin)
-- texts/malayalam-1.txt
മലയാളം: EOK (Malayalam)
ലിപി: EOK (Malayalam)
എല്ലാ: EOK (Malayalam)
മനുഷ്യരും: EOK (Malayalam)
സ്വതന്ത്രരും: EOK (Malayalam)
അന്തസ്സിലും: EOK (Malayalam)
അവകാശങ്ങളിലും: EOK (Malayalam)
തുല്യരായി: EOK (Malayalam)
ജനിച്ചവരാണ്: EOK (Malayalam)
അവർ: EOK (Malayalam)
യുക്തിയും: EOK (Malayalam)
മനസ്സാക്ഷിയും: EOK (Malayalam)
ഉള്ളവരാണ്: EOK (Malayalam)
അവർ: EOK (Malayalam)
പരസ്പരം: EOK (Malayalam)
സാഹോദര്യത്തിന്റെ: EOK (Malayalam)
മനോഭാവത്തിൽ: EOK (Malayalam)
പ്രവർത്തിക്കണം: EOK (Malayalam)
-- texts/marathi-1.txt
मराठी: EOK (Devanagari)
लिपी: EOK (Devanagari)
सर्व: EOK (Devanagari)
माणसं: EOK (Devanagari)
स्वतंत्रपणे: EOK (Devanagari)
जन्माला: EOK (Devanagari)
येतात: EOK (Devanagari)
आणि: EOK (Devanagari)
सन्मान: EOK (Devanagari)
आणि: EOK (Devanagari)
अधिकारांमध्ये: EOK (Devanagari)
समान: EOK (Devanagari)
असतात: EOK (Devanagari)
ते: EOK (Devanagari)
तर्क: EOK (Devanagari)
आणि: EOK (Devanagari)
विवेकाने: EOK (Devanagari)
संपन्न: EOK (Devanagari)
आहेत: EOK (Devanagari)
आणि: EOK (Devanagari)
त्यांनी: EOK (Devanagari)
एकमेकांशी: EOK (Devanagari)
बंधुभावाच्या: EOK (Devanagari)
भावनेने: EOK (Devanagari)
वागले: EOK (Devanagari)
पाहिजे: EOK (Devanagari)
-- texts/myanmar-1.txt
မြန်မာစာပဲဗျ: ERR_XID (Myanmar + U+103B Myanmar)!
လူသားတိုင်းသည်: EOK (Myanmar)
ဂုဏ်သိက္ခာနှင့်: EOK (Myanmar)
အခွင့်အရေးများဖြင့်: EOK (Myanmar)
လွတ်လပ်စွာ: EOK (Myanmar)
မွေးဖွားလာကြသည်: EOK (Myanmar)
င်းတို့သည်: EOK (Myanmar)
ဆင်ခြင်တုံတရားနှင့်: EOK (Myanmar)
အသိတရားနှင့်: EOK (Myanmar)
ပြည့်စုံပြီး: EOK_NORM (Myanmar)
အချင်းချင်း: EOK (Myanmar)
ညီရင်းအစ်ကို: EOK (Myanmar)
စိတ်ဓာတ်ဖြင့်: EOK (Myanmar)
ပြုမူသင့်သည်: EOK (Myanmar)
-- texts/odia-1.txt
ଓଡିଆ: EOK (Oriya)
ସ୍କ୍ରିପ୍ଟ: EOK (Oriya)
ସମସ୍ତ: EOK (Oriya)
ମଣିଷ: EOK (Oriya)
ମୁକ୍ତ: EOK (Oriya)
ଏବଂ: EOK (Oriya)
ସମ୍ମାନ: EOK (Oriya)
ଏବଂ: EOK (Oriya)
ଅଧିକାରରେ: EOK (Oriya)
ସମାନ: EOK (Oriya)
ଭାବରେ: EOK (Oriya)
ଜନ୍ମଗ୍ରହଣ: EOK (Oriya)
କରନ୍ତି: EOK (Oriya)
ସେମାନଙ୍କୁ: EOK (Oriya)
କାରଣ: EOK (Oriya)
ଏବଂ: EOK (Oriya)
ବିବେକ: EOK (Oriya)
ଦିଆଯାଇଛି: EOK (Oriya)
ଏବଂ: EOK (Oriya)
ଭାଇଚାରା: EOK (Oriya)
ଭାବନାରେ: EOK (Oriya)
ପରସ୍ପର: EOK (Oriya)
ପ୍ରତି: EOK (Oriya)
କାର୍ଯ୍ୟ: EOK_NORM (Oriya)
କରିବା: EOK (Oriya)
ଉଚିତ୍: EOK (Oriya)
-- texts/punjabi-1.txt
ਗੁਰਮੁਖੀ: EOK (Gurmukhi)
ਲਿਪੀ: EOK (Gurmukhi)
ਸਾਰੇ: EOK (Gurmukhi)
ਮਨੁੱਖ: EOK (Gurmukhi)
ਅਜ਼ਾਦ: EOK (Gurmukhi)
ਪੈਦਾ: EOK (Gurmukhi)
ਹੋਏ: EOK (Gurmukhi)
ਹਨ: EOK (Gurmukhi)
ਅਤੇ: EOK (Gurmukhi)
ਸਨਮਾਨ: EOK (Gurmukhi)
ਅਤੇ: EOK (Gurmukhi)
ਅਧਿਕਾਰਾਂ: EOK (Gurmukhi)
ਵਿੱਚ: EOK (Gurmukhi)
ਬਰਾਬਰ: EOK (Gurmukhi)
ਹਨ: EOK (Gurmukhi)
ਉਹ: EOK (Gurmukhi)
ਤਰਕ: EOK (Gurmukhi)
ਅਤੇ: EOK (Gurmukhi)
ਜ਼ਮੀਰ: EOK (Gurmukhi)
ਨਾਲ: EOK (Gurmukhi)
ਸੰਪੰਨ: EOK (Gurmukhi)
ਹਨ: EOK (Gurmukhi)
ਅਤੇ: EOK (Gurmukhi)
ਉਹਨਾਂ: EOK (Gurmukhi)
ਨੂੰ: EOK (Gurmukhi)
ਇੱਕ: EOK (Gurmukhi)
ਦੂਜੇ: EOK (Gurmukhi)
ਪ੍ਰਤੀ: EOK (Gurmukhi)
ਭਾਈਚਾਰੇ: EOK (Gurmukhi)
ਦੀ: EOK (Gurmukhi)
ਭਾਵਨਾ: EOK (Gurmukhi)
ਨਾਲ: EOK (Gurmukhi)
ਕੰਮ: EOK (Gurmukhi)
ਕਰਨਾ: EOK (Gurmukhi)
ਚਾਹੀਦਾ: EOK (Gurmukhi)
ਹੈ: EOK (Gurmukhi)
-- texts/scots-gaelic-1.txt
Albannaich: EOK (Latin)
gaelic: EOK (Latin)
Tha: EOK (Latin)
mac: EOK (Latin)
an: EOK (Latin)
duine: EOK (Latin)
air: EOK (Latin)
a: EOK (Latin)
bhreith: EOK (Latin)
an: EOK (Latin)
asgaidh: EOK (Latin)
agus: EOK (Latin)
co: EOK (Latin)
ionann: EOK (Latin)
ann: EOK (Latin)
an: EOK (Latin)
urram: EOK (Latin)
agus: EOK (Latin)
còirichean: EOK (Latin)
Tha: EOK (Latin)
iad: EOK (Latin)
air: EOK (Latin)
an: EOK (Latin)
toirt: EOK (Latin)
seachad: EOK (Latin)
le: EOK (Latin)
adhbhar: EOK (Latin)
agus: EOK (Latin)
cogais: EOK (Latin)
agus: EOK (Latin)
bu: EOK (Latin)
chòir: EOK (Latin)
dhaibh: EOK (Latin)
a: EOK (Latin)
bhith: EOK (Latin)
ag: EOK (Latin)
obair: EOK (Latin)
an: EOK (Latin)
aghaidh: EOK (Latin)
a: EOK (Latin)
chèile: EOK (Latin)
ann: EOK (Latin)
an: EOK (Latin)
spiorad: EOK (Latin)
bràithreachas: EOK (Latin)
-- texts/sinhala-1.txt
සිංහල: EOK (Sinhala)
අකුරු: EOK (Sinhala)
සියලුම: EOK (Sinhala)
මිනිසුන්: EOK (Sinhala)
නිදහස්: EOK (Sinhala)
හා: EOK (Sinhala)
සමාන: EOK (Sinhala)
ගෞරවයෙන්: EOK (Sinhala)
හා: EOK (Sinhala)
අයිතිවාසිකම්වලින්: EOK (Sinhala)
උපත: EOK (Sinhala)
ලබයි: EOK (Sinhala)
ඔවුන්: EOK (Sinhala)
තර්කානුකූලව: EOK (Sinhala)
හා: EOK (Sinhala)
හෘදය: EOK (Sinhala)
සාක්ෂියෙන්: EOK (Sinhala)
යුක්ත: EOK_NORM (Sinhala)
වන: EOK (Sinhala)
අතර: EOK (Sinhala)
එකිනෙකාට: EOK (Sinhala)
සහෝදරත්වයෙන්: EOK (Sinhala)
යුතුව: EOK (Sinhala)
කටයුතු: EOK (Sinhala)
කළ: EOK (Sinhala)
යුතුය: EOK (Sinhala)
-- texts/swedish-1.txt
latinsk: EOK (Latin)
skrift: EOK (Latin)
Alla: EOK (Latin)
människor: EOK (Latin)
är: EOK (Latin)
födda: EOK (Latin)
fria: EOK (Latin)
och: EOK (Latin)
lika: EOK (Latin)
i: EOK (Latin)
värdighet: EOK (Latin)
och: EOK (Latin)
rättigheter: EOK (Latin)
De: EOK (Latin)
är: EOK (Latin)
utrustade: EOK (Latin)
med: EOK (Latin)
förnuft: EOK (Latin)
och: EOK (Latin)
samvete: EOK (Latin)
och: EOK (Latin)
bör: EOK (Latin)
handla: EOK (Latin)
mot: EOK (Latin)
varandra: EOK (Latin)
i: EOK (Latin)
en: EOK (Latin)
anda: EOK (Latin)
av: EOK (Latin)
broderskap: EOK (Latin)
-- texts/tamil-1.txt
தமிழ்: EOK (Tamil)
எழுத்து: EOK (Tamil)
எல்லா: EOK (Tamil)
மனிதர்களும்: EOK (Tamil)
சுதந்திரமாகவும்: EOK (Tamil)
கண்ணியத்திலும்: EOK (Tamil)
உரிமைகளிலும்: EOK (Tamil)
சமமாகப்: EOK (Tamil)
பிறந்தவர்கள்: EOK (Tamil)
அவர்கள்: EOK (Tamil)
பகுத்தறிவும்: EOK (Tamil)
மனசாட்சியும்: EOK (Tamil)
கொண்டவர்கள்: EOK (Tamil)
மற்றும்: EOK (Tamil)
சகோதரத்துவ: EOK (Tamil)
உணர்வோடு: EOK (Tamil)
ஒருவருக்கொருவர்: EOK (Tamil)
செயல்பட: EOK (Tamil)
வேண்டும்: EOK (Tamil)
-- texts/telugu-1.txt
తెలుగు: EOK (Telugu)
లిపి: EOK (Telugu)
మానవులందరూ: EOK (Telugu)
స్వేచ్ఛగా: EOK (Telugu)
మరియు: EOK (Telugu)
గౌరవం: EOK (Telugu)
మరియు: EOK (Telugu)
హక్కులలో: EOK (Telugu)
సమానంగా: EOK (Telugu)
జన్మించారు: EOK (Telugu)
వారు: EOK (Telugu)
హేతువు: EOK (Telugu)
మరియు: EOK (Telugu)
మనస్సాక్షిని: EOK (Telugu)
కలిగి: EOK (Telugu)
ఉంటారు: EOK (Telugu)
మరియు: EOK (Telugu)
సోదరభావంతో: EOK (Telugu)
ఒకరితో: EOK (Telugu)
ఒకరు: EOK (Telugu)
వ్యవహరించాలి: EOK (Telugu)
-- texts/thai-1.txt
อักษรไทย: EOK (Thai)
มนุษย์ทุกคนเกิดมาอย่างเสรีและเท่าเทียมกันใ: EOK (Thai)
พวกเขามีเหตุผลและมโนธรรมและควรปฏิบัติต่อกั: EOK (Thai)
-- texts/turkish-1.txt
Türkçe: EOK (Latin)
